Registeration Number,Project Name,Type of Project,District
PR/GJ/AHMEDABAD/AHMADABAD CITY/Others/MAA00001/120717,Saujanya Apartments,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00002/210817,ONE42,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00003/210817,Sumel-8,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00004/210817,Marigold,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00005/230817,Santorini Square,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00006/230817,ONE49,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00007/230817,78@Gokuldham,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00008/230817,Maple Trade Centre,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00009/230817,Eminence - 24,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00010/230817,TITANIUM HEIGHTS,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00011/240817,Vertis,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00012/240817,MAPLE TREE,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00013/240817,RIVIERA ONE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00014/240817,ORCHID PRIDE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00015/280817,Casa Vyoma,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00016/280817,THE BUNGALOWS,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00017/280817,SIVANTA APARTMENTS,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00018/280817,SAMAYAKA APARTMENTS,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00019/280817,Shaunak Apartments ,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00020/280817,ORCHID DIVINE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00021/280817,BHAGIRATH SERENITY - PHASE - 1,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00022/290817,CASA VYOMA ,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/KALOL/AUDA/MAA00023/290817,SUPER CITY PHASE 1,Mixed Development,Gandhinagar
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00024/290817,SUN SOUTHPARK,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00025/290817,SUN AVENUE ONE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00026/290817,SUN ASPIRE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00027/290817,SAKAR-IX,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00028/290817,SUN DIVINE 5,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00029/310817,SHEETAL AQUA,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00030/310817,ALLIED RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00031/310817,YASH PINNACLE,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00032/310817,SAMPAD ALLURE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00033/310817,SUN EVOQ,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00034/310817,Sarovar Enclave,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00035/310817,SHIVALAY HEIGHTS,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00036/310817,ORCHIED PARADISE -G H,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00037/310817,SANKALP ICONIC TOWER,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00038/310817,MARUTI HEIGHTS,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00039/310817,Sun Skypark (residential project) & Sun central park (commercial project),Mixed Development,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00040/010917,THE BLUEBELL,Residential/Group Housing,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00041/010917,ATLANTIS SQUARE,Commercial,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00042/010917,INTERNATIONAL FASHION MARKET,Commercial,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00043/010917,Aashray Arise,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00044/010917,KAVERI SANGAM,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00045/010917,THE FIRST,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00046/010917,KALASH 5,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00047/010917,Merlin Pentagon,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00048/010917,ZAINAB AVENUE,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00049/010917,NORTH VIEW,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00050/010917,ASHWAMEGH ELYSIUM,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00051/010917,ganesh icon,Mixed Development,Ahmedabad
PR/GJ/KHEDA/MEHMEDABAD/AUDA/RAA00052/010917,SATYAM BUNGLOWS,Residential/Group Housing,Kheda
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00053/010917,DIVYA HOMES,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA00054/010917,SAVYA SKYZ,Mixed Development,Gandhinagar
PR/GJ/VADODARA/VADODARA/Others/MAA00055/010917,SARVA SQUARE,Mixed Development,Vadodara
PR/GJ/VADODARA/VADODARA/Others/RAA00056/010917,SARVA RESIDENCY-1,Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00057/010917,Carmel G and I ,Residential/Group Housing,Ahmedabad
